db	rank	path	node_mentions	labels
opt-crypto-tuber-ranked.db	52	docs/frontend-build-agent-prompt.md	24	Section:22,File:1,Module:1
opt-crypto-tuber-ranked.db	53	docs/ops/callscore-canonical-env-manifest.md	24	Section:22,File:1,Module:1
opt-crypto-tuber-ranked.db	54	src/scripts/repair-price-at-call.ts	24	Function:13,Interface:5,Variable:4,File:1,Module:1
opt-crypto-tuber-ranked.db	55	tests/self-correction.test.ts	24	Variable:10,Function:7,Interface:5,File:1,Module:1
opt-crypto-tuber-ranked.db	56	src/scripts/discover-videos-rss-api.ts	23	Function:15,Variable:3,Interface:2,File:1,Module:1
opt-crypto-tuber-ranked.db	57	src/scripts/backfill-candles-data-vision.ts	23	Function:15,Variable:4,Interface:2,File:1,Module:1
opt-crypto-tuber-ranked.db	58	src/data/global-creator-sources.json	23	Variable:21,File:1,Module:1
opt-crypto-tuber-ranked.db	59	docs/ops/2026-06-15-x-twitter-public-canary-approval-packet.md	22	Section:20,File:1,Module:1
opt-crypto-tuber-ranked.db	60	src/lib/ai-extraction.ts	22	Function:11,Variable:6,Interface:3,File:1,Module:1
opt-crypto-tuber-ranked.db	61	src/lib/monitoring.ts	22	Function:12,Variable:6,Interface:2,File:1,Module:1
opt-crypto-tuber-ranked.db	62	src/lib/candidate-admission.ts	22	Function:9,Variable:6,Interface:4,File:1,Module:1
opt-crypto-tuber-ranked.db	63	src/lib/api-schemas.ts	22	Variable:16,Function:3,File:1,Module:1,Type:1
opt-crypto-tuber-ranked.db	64	src/app/creator/[handle]/backtest/page.tsx	22	Function:16,Interface:2,Variable:2,File:1,Module:1
opt-crypto-tuber-ranked.db	65	callscore-g10-approval-packet/launch-batch/drafts/creator_page_1.json	21	Variable:19,File:1,Module:1
opt-crypto-tuber-ranked.db	66	callscore-g10-approval-packet/launch-batch/drafts/creator_page_4.json	21	Variable:19,File:1,Module:1
opt-crypto-tuber-ranked.db	67	callscore-g10-approval-packet/launch-batch/drafts/creator_page_2.json	21	Variable:19,File:1,Module:1
opt-crypto-tuber-ranked.db	68	callscore-g10-approval-packet/launch-batch/drafts/creator_page_3.json	21	Variable:19,File:1,Module:1
